Match,Match_id,BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
England vs Ireland,T20I # 1846,Barry McCarthy,3,0,20,1,6.66,7,1,0,3,0
England vs Ireland,T20I # 1846,Fionn Hand,2,0,17,1,8.5,6,1,0,4,0
England vs Ireland,T20I # 1846,Gareth Delany,3.3,0,33,0,9.42,5,3,1,1,0
England vs Ireland,T20I # 1846,George Dockrell,1,0,5,1,5,2,0,0,0,0
Bangladesh vs South Africa,T20I # 1847,Taskin Ahmed,3,0,46,1,15.33,7,6,2,0,3
Bangladesh vs South Africa,T20I # 1847,Mehidy Hasan Miraz,3,0,32,0,10.66,4,2,2,0,0
Bangladesh vs South Africa,T20I # 1847,Hasan Mahmud,4,0,36,1,9,11,3,2,2,0
Bangladesh vs South Africa,T20I # 1847,Mustafizur Rahman,4,0,25,0,6.25,7,1,1,0,0
Bangladesh vs South Africa,T20I # 1847,Mosaddek Hossain,2,0,16,0,8,5,1,1,0,0
Bangladesh vs South Africa,T20I # 1847,Shakib Al Hasan,3,0,33,2,11,7,1,3,0,1
Bangladesh vs South Africa,T20I # 1847,Afif Hossain,1,0,11,1,11,1,2,0,0,0
Bangladesh vs South Africa,T20I # 1847,Kagiso Rabada,3,0,24,1,8,8,1,2,1,0
Bangladesh vs South Africa,T20I # 1847,Wayne Parnell,2,0,18,0,9,3,0,1,1,0
Bangladesh vs South Africa,T20I # 1847,Anrich Nortje,3.3,0,10,4,2.85,16,1,0,0,0
Bangladesh vs South Africa,T20I # 1847,Keshav Maharaj,4,0,24,1,6,6,1,0,0,0
Bangladesh vs South Africa,T20I # 1847,Tabraiz Shamsi,4,0,20,3,5,12,0,1,2,0
India vs Netherlands,T20I # 1848,Fred Klaassen,4,0,33,1,8.25,9,2,1,2,0
India vs Netherlands,T20I # 1848,Tim Pringle,4,0,30,0,7.5,6,3,0,0,0
India vs Netherlands,T20I # 1848,Paul van Meekeren,4,0,32,1,8,9,3,1,0,0
India vs Netherlands,T20I # 1848,Bas de Leede,3,0,33,0,11,6,5,1,1,0
India vs Netherlands,T20I # 1848,Logan van Beek,4,0,45,0,11.25,3,2,3,0,0
India vs Netherlands,T20I # 1848,Shariz Ahmad,1,0,5,0,5,2,0,0,0,0
India vs Netherlands,T20I # 1848,Bhuvneshwar Kumar,3,2,9,2,3,14,1,0,0,0
India vs Netherlands,T20I # 1848,Arshdeep Singh,4,0,37,2,9.25,9,6,0,1,1
India vs Netherlands,T20I # 1848,Mohammed Shami,4,0,27,1,6.75,10,2,0,0,0
India vs Netherlands,T20I # 1848,Axar Patel,4,0,18,2,4.5,11,0,0,0,0
India vs Netherlands,T20I # 1848,Hardik Pandya,1,0,9,0,9,1,0,0,1,0
India vs Netherlands,T20I # 1848,Ravichandran Ashwin,4,0,21,2,5.25,13,1,1,1,0
Pakistan vs Zimbabwe,T20I # 1849,Shaheen Shah Afridi,4,0,29,0,7.25,9,3,0,0,0
Pakistan vs Zimbabwe,T20I # 1849,Naseem Shah,4,0,34,0,8.5,7,4,0,2,0
Pakistan vs Zimbabwe,T20I # 1849,Mohammad Wasim,4,0,24,4,6,16,2,1,4,0
Pakistan vs Zimbabwe,T20I # 1849,Haris Rauf,4,1,12,1,3,15,0,0,0,0
Pakistan vs Zimbabwe,T20I # 1849,Shadab Khan,4,0,23,3,5.75,8,1,0,0,0
